source,target,weight
AD,DC,2
AS,AW,3
AS,BT,2
AS,CM,1
AS,DB,2
AS,DC,8
AS,DS,9
AS,JM,1
AS,OS,7
AS,ST,1
AS,TT,1
AS,WW,3
AW,BT,11
AW,CM,1
AW,CP,5
AW,CS,2
AW,DB,3
AW,DC,32
AW,DM,1
AW,DO,3
AW,DP,3
AW,DS,3
AW,EM,2
AW,GP,1
AW,GU,1
AW,HA,1
AW,HS,1
AW,JM,1
AW,LE,1
AW,LS,2
AW,MJ,1
AW,OS,2
AW,ST,2
AW,TT,6
AW,TW,1
AW,UH,7
AW,UM,3
AW,WA,2
AW,WB,1
AW,WM,3
AW,WW,8
BA,CP,7
BA,DC,10
BA,DP,3
BA,HP,2
BA,LE,1
BA,MG,1
BC,HC,2
BC,MC,1
BC,MH,1
BC,SC,1
BC,ST,1
BC,TT,2
BM,CC,4
BM,CP,2
BM,DC,4
BM,JM,1
BT,CC,1
BT,CD,1
BT,CP,11
BT,CR,3
BT,CS,3
BT,DB,20
BT,DC,54
BT,DM,2
BT,DO,7
BT,DP,3
BT,DS,1
BT,ED,3
BT,EM,3
BT,FS,1
BT,HP,1
BT,JM,3
BT,JT,4
BT,LS,3
BT,MJ,2
BT,OS,2
BT,ST,1
BT,TI,1
BT,TR,4
BT,TT,8
BT,TW,2
BT,UH,4
BT,UM,1
BT,WM,7
BT,WW,3
CC,CP,6
CC,DC,12
CC,ED,6
CC,JM,5
CD,DC,3
CD,ED,2
CD,JM,1
CD,JR,1
CD,MG,1
CD,MO,1
CH,DC,1
CK,DC,6
CK,JS,1
CK,LM,1
CK,MC,2
CK,MM,1
CK,OC,1
CK,TT,3
CK,TU,3
CK,UH,1
CL,DC,2
CL,DM,2
CL,EM,2
CL,MJ,2
CL,TW,1
CL,WM,2
CM,DC,2
CM,DS,1
CM,JU,1
CM,UH,1
CM,WW,1
CP,CR,1
CP,CS,1
CP,DB,6
CP,DC,45
CP,DM,1
CP,DO,1
CP,DP,13
CP,ED,3
CP,EM,1
CP,FS,1
CP,HP,9
CP,JM,1
CP,JS,1
CP,LE,4
CP,LS,1
CP,ME,1
CP,MG,8
CP,MJ,1
CP,ST,1
CP,TI,1
CP,TT,3
CP,TW,1
CP,WM,2
CR,DB,1
CR,DC,6
CS,DC,5
CS,DO,5
CS,LS,7
CS,ST,1
CS,TT,2
DB,DC,21
DB,DS,3
DB,ED,1
DB,JM,1
DB,JT,2
DB,OS,1
DB,TR,1
DB,TT,6
DB,UH,2
DB,UM,1
DB,WM,3
DC,DL,1
DC,DM,5
DC,DO,21
DC,DP,29
