code,description
AD,"Adams, head boy in DS's school"
AS,"Annie Strong, beautiful young wife of DS"
AW,"Agnes Wickfield, daughter of WW"
BA,"Mr. Barkis, willin' carrier"
BC,"Beauty Crewler, sister of ST"
BM,"Baby Murdstone, baby boy of CC and ED"
BT,"Betsey Trotwood, DC's paternal great-aunt"
CC,"Clara Copperfield, mother of DC"
CD,"Mr. Chillip, doctor at DC's birth"
CH,"Captain Hopkins, debtor with sonorous voice"
CK,"Mr. Creakle, proprietor of Salem House school"
CL,"Clicket (the Orfling), servant of WM"
CM,"Jack Maldon, ne'er-do-well cousin of AS"
CP,"Clara Peggotty, nurse to DC"
CR,"Mrs. Crupp, landlady to DC"
CS,"Miss Clarissa Spenlow, aunt of DO"
DB,"Richard Babley (Mr. Dick), weak-minded prot\'eg\'e of BT"
DC,"David Copperfield, our hero"
DL,"Mr. Dolloby, buyer of used clothing"
DM,"Miss Emma Micawber, daughter of WM and EM"
DO,"Dora Spenlow, daughter of FS"
DP,"Dan Peggotty, brother of CP"
DS,"Dr. Strong, schoolmaster at Dover"
DW,"Miss Mowcher, dwarf hairdresser"
ED,"Edward Murdstone, second husband of CC"
EM,"Mrs. Emma Micawber, sanguine wife of WM"
FG,"Mr. Grainger, friend of JS"
FM,"Mr. Markham, friend of JS"
FS,"Mr. Francis Spenlow, attorney"
GP,"Mr. Gulpidge, something to do with the law business"
GR,"Gregory, foreman of wine packers at Murdstone and Grinby"
GU,"Mrs. Gulpidge, dinner guest of FS"
HA,"Mrs. Henry Spiker, `Hamlet's Aunt'"
HC,"Rev. Horace Crewler, father of ST"
HP,"Ham Peggotty, nephew to CP and DP"
HS,"Mr. Henry Spiker, solicitor"
JK,"Mr. Jorkins, `hard-hearted' partner of FS"
JM,"Jane Murdstone, sister of ED"
JR,"Joram, partner of OM"
JS,"James Steerforth, schoolmate of DC"
JT,"Janet, maid to BT"
JU,"Julia Mills, bosom friend of DO"
KI,"Miss Kitt, creature in pink"
LA,"Miss Larkins, DC's older woman crush"
LC,"Mr. Chestle, `elderly' gentleman who marries LA"
LE,"Emily Peggotty (Little Em'ly), niece of DP"
LF,"Mr. Larkins, father of LA"
LM,"Littimer, valet to JS"
LS,"Miss Lavinia Spenlow, aunt of DO"
MC,"Mrs. Creakle, wife of CK"
ME,"Martha Endell, `fallen woman'"
MF,"Mrs. Fibbotson, old housemate of MM"
MG,"Mrs. Gummidge (Old Mawther), widow of DP's partner"
MH,"Mrs. Crewler, wife of HC"
MJ,"Master Wilkins Micawber Jr., son of WM and EM"
ML,"Charley Mell, teacher at Salem House"
MM,"Mrs. Mell, mother of ML"
MO,"Minnie Omer, daughter and seamstress to OM"
MP,"Mealy Potatoes, laborer at Murdstone and Grinby"
MS,"Mrs. Steerforth, mother of JS"
MW,"Mick Walker, laborer at Murdstone and Grinby"
OC,"Miss Creakle, daughter of CK"
OM,"Mr. Omer, haberdasher and funeral furnisher"
OS,"Mrs. Markleham (The Old Soldier), mother of AS"
PA,"Mary Anne Paragon, first servant of DC and DO"
PN,"Mr. Passnidge, friend of ED"
QU,"Mr. Quinion, manager of Murdstone and Grinby"
RD,"Rosa Dartle, companion to MS"
RW,"Red Whisker, rival for DO"
SA,"Miss Shepherd, adorable little girl"
SC,"Sarah Crewler, crippled sister of ST"
SH,"Mr. Sharp, headmaster at Salem House"
ST,"Sophy Crewler, fianc\'ee of TT"
TI,"Mr. Tiffey, clerk to FS"
TP,"Tipp, carman at Murdstone and Grinby"
TR,"Mr. Trotwood, husband left by BT"
TT,"Tommy Traddles, student at Salem House"
TU,"Mr. Tungay, one-legged guard at Salem House"
TW,"Micawber Twins, children of WM and EM"
UH,"Uriah Heep, articled to lawyer WW"
UM,"Mrs. Heep, 'umble mother of UH"
WA,"Mrs. Waterbrook, wife of WB"
WB,"Mr. Waterbrook, agent for WW"
WI,"William 1, friendly and hungry waiter"
WL,"William 2, coachman"
WM,"Wilkins Micawber, debtor who waits"
WW,"Mr. Wickfield, attorney at Dover"
