source,target,weight
AB,BN,1
AB,DH,1
AB,DR,1
AB,DU,1
AB,JO,1
AB,KI,1
AB,MJ,1
AB,SW,1
AB,TF,1
AB,WB,1
AP,AS,2
AP,BT,1
AP,HF,2
AP,JH,1
AP,JM,1
AP,JT,1
AP,MR,1
AP,PA,1
AP,SP,2
AP,SS,1
AP,TS,3
AS,BM,1
AS,BP,1
AS,HF,8
AS,HT,1
AS,JI,1
AS,JM,2
AS,LI,2
AS,MA,1
AS,MH,1
AS,OD,1
AS,SD,1
AS,SI,1
AS,SP,8
AS,SR,1
AS,SU,1
AS,TF,2
AS,TP,1
AS,TS,6
AT,DR,1
AT,DU,1
AT,HF,1
AT,HI,1
AT,HW,1
AT,KI,1
AT,LB,1
AT,TF,1
AT,WW,1
BD,BS,1
BE,BG,1
BE,BK,1
BE,CG,1
BE,HF,1
BE,MC,1
BE,MS,1
BE,RG,1
BE,TG,1
BG,BK,2
BG,CG,2
BG,HF,2
BG,MC,2
BG,MS,2
BG,RG,2
BG,TG,2
BH,CS,1
BH,TF,1
BI,JP,2
BI,TU,1
BK,CG,2
BK,HF,3
BK,HS,1
BK,JG,1
BK,MC,2
BK,MS,2
BK,RG,2
BK,TG,2
BM,BP,1
BM,HF,1
BM,HT,1
BM,MH,1
BM,SD,1
BM,SI,1
BM,SP,1
BM,SR,1
BM,SU,1
BN,DH,1
BN,DU,1
BN,KI,1
BN,WB,1
BO,CS,1
BO,TF,1
BP,HF,1
BP,HT,1
BP,MH,1
BP,SD,1
BP,SI,1
BP,SP,1
BP,SR,1
BP,SU,1
BR,HF,2
BR,JH,2
BR,TB,1
BR,TS,2
BT,JH,1
BT,JT,1
BT,MR,1
BT,PA,1
BT,SS,1
BT,TS,1
BU,JM,1
BU,SP,1
BU,TF,1
CG,HF,2
CG,MC,2
CG,MS,2
CG,RG,2
CG,TG,2
CS,TF,2
DH,DU,1
DH,KI,1
DH,WB,1
DR,DU,1
DR,HF,1
DR,HI,1
DR,HW,1
DR,JO,1
DR,KI,1
DR,LB,1
DR,MJ,1
DR,SW,1
DR,TF,2
DR,WW,1
DU,HF,13
DU,HI,1
DU,HW,1
DU,JM,6
DU,JO,1
DU,KI,18
DU,LB,1
DU,MJ,2
DU,PW,2
DU,RH,1
DU,SW,2
DU,TC,1
DU,TF,6
DU,WB,2
DU,WW,1
HF,HI,1
HF,HS,1
HF,HT,1
HF,HW,1
HF,JH,2
HF,JK,1
HF,JL,1
HF,JM,28
HF,JN,1
HF,JO,2
HF,JT,3
HF,KI,13
HF,LB,1
HF,LI,2
HF,MA,1
HF,MC,2
HF,MH,1
HF,MJ,3
HF,MP,1
HF,MS,2
HF,MW,3
HF,NT,3
HF,OD,2
HF,PA,4
HF,PW,2
HF,RG,2
HF,RH,1
HF,SD,1
HF,SI,1
HF,SP,7
HF,SR,1
HF,SU,1
HF,SW,3
HF,TB,1
HF,TC,1
HF,TF,5
HF,TG,2
HF,TS,18
HF,WB,1
HF,WD,3
HF,WW,1
HI,HW,1
HI,KI,1
HI,LB,1
HI,TC,1
HI,TF,1
HI,WW,1
HS,MS,1
HT,MH,1
HT,SD,1
HT,SI,1
HT,SP,1
HT,SR,1
HT,SU,1
HW,KI,1
HW,LB,1
HW,PW,1
HW,TF,2
HW,WW,2
JH,JT,1
JH,MR,1
JH,PA,1
JH,SS,1
JH,TB,1
JH,TS,3
JI,LI,1
JK,JM,1
JM,JY,1
JM,KI,6
JM,LZ,1
JM,MW,1
JM,NT,3
JM,OD,1
JM,PA,1
JM,SP,3
JM,TF,2
JM,TS,9
JN,MP,1
JO,KI,1
JO,MJ,3
JO,PW,1
JO,SW,4
JO,TF,2
JP,TU,1
JT,MR,1
JT,PA,4
JT,SS,1
JT,TS,1
JT,WD,1
KI,LB,1
KI,MJ,2
KI,PW,2
KI,RH,1
KI,SW,2
KI,TC,1
KI,TF,7
KI,WB,2
KI,WW,1
LB,TF,1
LB,WW,1
LI,MA,1
LI,SP,2
LI,TS,1
MA,SP,1
MA,TS,1
MC,MS,2
MC,RG,2
MC,TG,2
MH,SD,1
MH,SI,1
MH,SP,1
MH,SR,1
MH,SU,1
MJ,PW,2
MJ,SW,4
MJ,TF,2
MR,PA,1
MR,SS,1
MR,TS,1
MS,RG,2
MS,TG,2
MW,WD,4
NT,TS,3
OD,SP,1
OD,TF,1
OD,TS,1
PA,SS,1
PA,TS,1
PA,WD,1
PW,RH,1
PW,SW,1
PW,TF,2
PW,WB,1
RG,TG,2
RH,TF,1
RH,WB,1
SD,SI,1
SD,SP,1
SD,SR,1
SD,SU,1
SI,SP,1
SI,SR,1
SI,SU,1
SP,SR,1
SP,SU,1
SP,TF,1
SP,TS,5
SR,SU,1
SS,TS,1
SW,TF,2
TB,TS,1
TF,TS,2
TF,WB,1
TF,WW,2
